itemID,item,item_type,category,choices,definition,gloss,complexity_category,,		
item_1,respond_name,understanding,first_signs,no; yes,1. Reageert op het roepen van zijn / haar naam (bv door zich te draaien en te kijken in de richting van het geluid).,responds to own name (by looking towards sound),,,	
item_2,respond_no,understanding,first_signs,no; yes,"2. Reageert op 'nee, nee' (door (eventjes) te stoppen waarmee hij / zij bezig is).","responds to 'no, no' (by stopping what they're doing)",
item_3,respond_there,understanding,first_signs,no; yes,3. Reageert op 'Daar is mama / papa' door rond te kijken om hen te zoeken.,responds to 'there's mommy / daddy' by looking around for them,,,
item_3a,first_signs_textbox,understanding,first_signs,no; yes,"Als u opmerkingen of aanvullingen hebt, mag u die hier noteren.",,,
item_4,aaike_doen,sentence,sentence,understands,"Aaike doen / Aaien (strelen, liefkozen, ...) / Ga maar aaien.",pet / got pet,
item_5,andere_luier,sentence,sentence,understands,Andere luier / pamper aandoen.,change diaper,,,		
item_6,ben_je_moe,sentence,sentence,understands,Ben je moe?,are you tired?,,,		
item_7,mond_open,sentence,sentence,understands,Doe je mondje (es) open.,open up,,,		
item_8,flinke_jongen,sentence,sentence,understands,Flinke jongen! / Grote jongen!,big boy,,,		
item_9,flinke_meid,sentence,sentence,understands,Flink meisje! / Grote meid!,big girl,,,		
item_10,ga_halen,sentence,sentence,understands,Ga eens ... halen. ,go get ...,,,		
item_11,eten_drinken,sentence,sentence,understands,Gaan we eten / drinken?,gonna eat / drink?,,,		
item_12,geef_aan,sentence,sentence,understands,Geef het aan mama (of papa...).,give to mommy,,,		
item_13,geef_kusje,sentence,sentence,understands,Geef mij (es) een kusje / zoentje.,give me kiss,,,		
item_14,gooi_bal,sentence,sentence,understands,Gooi (es) de bal.,trow the ball,,,		
item_15,heb_honger,sentence,sentence,understands,Heb je honger?,are you hungry?,,,		
item_16,kiele_kiele,sentence,sentence,understands,Kiele kiele doen (kriebelen).,tickle tickle,,,		
item_17,kijk_hier,sentence,sentence,understands,Kijk (es). / Kijk (es) hier.,look (here),,,		
item_18,klappen_in_handjes,sentence,sentence,understands,Klappen in handjes. / Klap es in je handjes.,clap your hands,,,		
item_19,kom_hier,sentence,sentence,understands,Kom (es) hier. / Kom aan. ,come here,,,
item_20,we_gaan,sentence,sentence,understands,"Kom, we gaan da da / weg.","come, we go bye-bye",	
item_21,gaan_slapen,sentence,sentence,understands,"Kom, we gaan slapen. / Do do doen.","come, we're going to sleep",	
item_22,niet_aankomen,sentence,sentence,understands,Niet aankomen.,don't touch,,,		
item_23,niet_doen,sentence,sentence,understands,Niet doen / mag niet.,don't / not allowed,,,		
item_24,opstaan,sentence,sentence,understands,Opstaan! / Wakker worden!,get up / wake up,,,		
item_25,is_thuis,sentence,sentence,understands,Papa / Mama is thuis.,daddy / mommy's home,,,		
item_26,spuw_uit,sentence,sentence,understands,Spuw het uit. / Spuug dat es uit.,spit it out,,,		
item_27,sta_recht,sentence,sentence,understands,Sta (es) recht.,stand up,,,		
item_28,sta_stil,sentence,sentence,understands,Sta / Zit (es) stil.,stand / sit still,,,		
item_29,stil,sentence,sentence,understands,Stil! / Stilletjes! / Sst! / Wees es even stil!,be quiet,,,		
item_30,stop,sentence,sentence,understands,Stop ermee. / Hou op.,stop that,,,		
item_31,voorzichtig,sentence,sentence,understands,Voorzichtig! / Pas op!,be careful,,,		
item_32,wijs,sentence,sentence,understands,Wijs / Toon eens ... (bv. de auto),point to / show me ... (the car),,,		
item_33,wil_je,sentence,sentence,understands,Wil je nog (een beetje)?,you want (some) more?,,,		
item_34,zit_neer,sentence,sentence,understands,Zit (es) neer. / Zit (es) op je poep.,sit down,,,
item_34a,sentence_textbox,sentence,sentence,understands,"Als u opmerkingen of aanvullingen hebt, mag u die hier noteren.",,,		
item_35,nazeggen,first_words,first_words,never; sometimes; often,"1. Sommige kinderen imiteren of zeggen graag dingen na die ze juist gehoord hebben, zowel woordjes als delen van zinnetjes (bv. herhalen van 'we' of 'weg' nadat mama heeft gezegd: 'mama gaat nu weg'). Hoe vaak imiteert uw kind woorden?",some kids immitate or repeat words. How often does your child do this?,,
item_36,benoemen,first_words,first_words,never; sometimes; often,"2. Sommige kinderen benoemen graag dingen, alsof ze trots zijn dat ze de naam kennen en dat willen tonen. Hoe vaak doet uw kind dit?",,,
item_36a,first_words_textbox,first_words,first_words,never; sometimes; often,"Als u opmerkingen of aanvullingen hebt, mag u die hier noteren.",,,
item_37,au,word,sounds,understands; produces,au / ai (pijn),ouch,,,	
item_38,bah,word,sounds,understands; produces,bah (vies / vuil),ew / yuck,,,	
item_39,beh_beh,word,sounds,understands; produces,beh beh (schaap),baa baa,,,	
item_40,beu,word,sounds,understands; produces,beu / boe / meu / moeh (koe),moo,,,	
item_41,boem,word,sounds,understands; produces,boem (iets dat valt of botst),blub (fish),,,	
item_42,grrr,word,sounds,understands; produces,grrr (grommen),grrr,,,	
item_43,kukelukuu,word,sounds,understands; produces,kukelukuu (haan),cockadoodledoo,,,	
