itemID,item,item_type,category,choices,uni_lemma,definition English,definition,gloss,complexity_category,scoring_category
item_1,respname,first_signs,first_signs,no; yes,,"Respond when name is called (e.g., by turning and looking at source).","מגיב שקוראים בשמו (לדוגמא, מפנה מבט לעבר מקור הקול)","Respond when name is called (e.g., by turning and looking at source).",,
item_2,respno,first_signs,first_signs,no; yes,,"Respond to ""no no"" (by stopping what he/she is doing, at least for a moment).","מגיב ל""אסור""/ ""לא""/ ""נו, נו, נו"" (למשל על ידי הפסקת הפעולה שעושה, אפילו לרגע)","Respond to ""no no"" (by stopping what he/she is doing, at least for a moment).",,
item_3,reactmd,first_signs,first_signs,no; yes,,"React to ""there's mommy/daddy"" by looking around for them.","מחפש את אמא או את אבא כאשר שומע: ""הנה אמא"" או ""הנה אבא""","React to ""there's mommy/daddy"" by looking around for them.",,
item_4,arehngry,phrases,phrases,understands,,Are you hungry?,אתה רעב?,Are you hungry?,,
item_5,aretired,phrases,phrases,understands,,Are you tired/sleepy?,אתה עייף?,Are you tired/sleepy?,,
item_6,becarefl,phrases,phrases,understands,,Be careful.,תיזהר,Be careful.,,
item_7,bequiet,phrases,phrases,understands,,Be quiet.,שקט בבקשה,Be quiet.,,
item_8,claphand,phrases,phrases,understands,,Clap your hands.,מחא כפיים,Clap your hands.,,
item_9,cgdiaper,phrases,phrases,understands,,Change diaper.,צריך להחליף חיתול,Change diaper.,,
item_10,comehere,phrases,phrases,understands,,Come here/come on.,בוא אלי,Come here/come on.,,
item_11,mdhome,phrases,phrases,understands,,Daddy's/mommy's home.,אבא בבית,Daddy's/mommy's home.,,
item_12,wantmore,phrases,phrases,understands,,Do you want more?,רוצה עוד?,Do you want more?,,
item_13,dontdo,phrases,phrases,understands,,Don't do that.,אל תעשה,Don't do that.,,
item_14,dontouch,phrases,phrases,understands,,Don't touch.,לא לגעת,Don't touch.,,
item_15,getup,phrases,phrases,understands,,Get up.,קום,Get up.,,
item_16,givemom,phrases,phrases,understands,,Give it to mommy.,תן לי,Give it to mommy.,,
item_17,givehug,phrases,phrases,understands,,Give me a hug.,חבק אותי,Give me a hug.,,
item_18,givekiss,phrases,phrases,understands,,Give me a kiss.,תן לי נשיקה,Give me a kiss.,,
item_19,goget,phrases,phrases,understands,,Go get ___.,תביא לי משהו,Go get ___.,,
item_20,holdstil,phrases,phrases,understands,,Hold still.,אל תזוז,Hold still.,,
item_21,lookup,phrases,phrases,understands,,Look up,תסתכל למעלה,Look up,,
item_22,openmth,phrases,phrases,understands,,Open your mouth.,תפתח את הפה/ פה גדול,Open your mouth.,,
item_23,sitdown,phrases,phrases,understands,,Sit down.,שב,Sit down.,,
item_24,spitout,phrases,phrases,understands,,Spit it out.,תוציא מהפה,Spit it out.,,
item_25,stopit,phrases,phrases,understands,,Stop it.,די או מספיק,Stop it.,,
item_26,gonight,phrases,phrases,understands,,Time to go night night.,הולכים לישון,Time to go night night.,,
item_27,throwbll,phrases,phrases,understands,,Throw the ball.,זרוק את הכדור,Throw the ball.,,
item_28,handsup,phrases,phrases,understands,,Hands on head rhyme,"""ידיים על הראש""",Hands on head rhyme,,
item_29,imitate,starting_to_talk,starting_to_talk,never; sometimes; often,,"Some children like to ""parrot"" or imitate things that they've just heard (including new words that they are just learning, and/or parts of sentences, for example, repeating ""work now"" after mother says ""Mommy's going to work now."") How often does your children imitate words?",יש ילדים שאוהבים לחזור על מילים או חלק ממילים שהם שומעים. באיזו תדירות ילדכם מחקה מילים?,"Some children like to ""parrot"" or imitate things that they've just heard (including new words that they are just learning, and/or parts of sentences, for example, repeating ""work now"" after mother says ""Mommy's going to work now."") How often does your children imitate words?",,imitation
item_30,label,starting_to_talk,starting_to_talk,never; sometimes; often,,"Some children like to go around naming or labeling things, as though proud of knowing the names and wanting to show this. How often does your child do this?","יש ילדים שאוהבים להסתובב בחדר, להצביע על דברים ולהגיד כיצד הם נקראים. באיזו תדירות ילדך עושה זאת? ","Some children like to go around naming or labeling things, as though proud of knowing the names and wanting to show this. How often does your child do this?",,label
item_31,baa_baa,word,sounds,understands; produces,baa baa,baa baa,מה מה ,baa baa,,
