itemID,item,item_type,category,choices,definition,gloss,complexity_category
item_2,choo_choo,word,sounds,understands; produces,칙칙폭폭,choo choo,
item_4,grrr,word,sounds,understands; produces,어흥,grrr,
item_5,meow,word,sounds,understands; produces,야옹,meow,
item_6,moo,word,sounds,understands; produces,음매,moo,
item_8,quack_quack,word,sounds,understands; produces,꽥꽥,quack quack,
item_11,woof_woof,word,sounds,understands; produces,멍멍,woof woof,
item_12,yum_yum,word,sounds,understands; produces,얌얌,yum yum,
item_100,oink_oink,word,sounds,understands; produces,꿀꿀,oink oink,
item_101,knock_knock,word,sounds,understands; produces,똑똑,knock knock,
item_102,honk_honk,word,sounds,understands; produces,빵빵,honk honk,
item_103,chirrup_chirrup,word,sounds,understands; produces,짹짹,chirrup chirrup,
item_13,alligator,word,animals,understands; produces,악어,alligator,
item_14,animal,word,animals,understands; produces,동물,animal,
item_15,ant,word,animals,understands; produces,개미,ant,
item_16,bear,word,animals,understands; produces,곰,bear,
item_17,bee,word,animals,understands; produces,벌,bee,
item_18,bird,word,animals,understands; produces,새,bird,
item_19,bug,word,animals,understands; produces,벌레,bug,
item_20,bunny,word,animals,understands; produces,토끼,bunny,
item_21,butterfly,word,animals,understands; produces,나비,butterfly,
item_22,cat,word,animals,understands; produces,고양이,cat,
item_23,chicken.animal,word,animals,understands; produces,닭,chicken (animal),
item_24,cow,word,animals,understands; produces,소,cow,
item_25,deer,word,animals,understands; produces,사슴,deer,
item_26,dog,word,animals,understands; produces,개,dog,
item_27,donkey,word,animals,understands; produces,당나귀,donkey,
item_28,duck,word,animals,understands; produces,오리,duck,
item_29,elephant,word,animals,understands; produces,코끼리,elephant,
item_30,fish.animal,word,animals,understands; produces,물고기,fish (animal),
item_31,frog,word,animals,understands; produces,개구리,frog,
item_32,giraffe,word,animals,understands; produces,기린,giraffe,
item_33,goose,word,animals,understands; produces,거위,goose,
item_35,horse,word,animals,understands; produces,말,horse,
item_38,lion,word,animals,understands; produces,사자,lion,
item_39,monkey,word,animals,understands; produces,원숭이,monkey,
item_41,mouse,word,animals,understands; produces,쥐,mouse,
item_42,owl,word,animals,understands; produces,부엉이,owl,
item_43,penguin,word,animals,understands; produces,펭귄,penguin,
item_44,pig,word,animals,understands; produces,돼지,pig,
item_48,sheep,word,animals,understands; produces,양,sheep,
item_49,squirrel,word,animals,understands; produces,다람쥐,squirrel,
item_51,tiger,word,animals,understands; produces,호랑이,tiger,
item_53,turtle,word,animals,understands; produces,거북이,turtle,
item_104,dinosaur,word,animals,understands; produces,공룡,dinosaur,
item_105,snake,word,animals,understands; produces,뱀,snake,
item_106,chick,word,animals,understands; produces,병아리,chick,
item_107,pigeon,word,animals,understands; produces,비둘기,pigeon,
item_108,calf,word,animals,understands; produces,송아지,calf,
item_109,fox,word,animals,understands; produces,여우,fox,
item_110,goat,word,animals,understands; produces,염소,goat,
item_111,sparrow,word,animals,understands; produces,참새,sparrow,
item_112,hippopotamus,word,animals,understands; produces,하마,hippopotamus,
item_56,airplane,word,vehicles,understands; produces,비행기,airplane,
item_57,bicycle,word,vehicles,understands; produces,자전거,bicycle,
item_58,boat,word,vehicles,understands; produces,배,boat,
item_59,bus,word,vehicles,understands; produces,버스,bus,
item_60,car,word,vehicles,understands; produces,차/자동차,car,
item_61,firetruck,word,vehicles,understands; produces,소방차/불자동차,firetruck,
item_62,helicopter,word,vehicles,understands; produces,헬리콥터,helicopter,
item_63,motorcycle,word,vehicles,understands; produces,오토바이,motorcycle,
item_64,sled,word,vehicles,understands; produces,썰매,sled,
item_65,stroller,word,vehicles,understands; produces,유모차,stroller,
item_67,train,word,vehicles,understands; produces,기차,train,
item_69,truck,word,vehicles,understands; produces,트럭,truck,
item_113,taxi,word,vehicles,understands; produces,택시,taxi,
