itemID,item,item_type,category,choices,definition,gloss,complexity_category,uni_lemma
item_1,baa_baa,word,,produces,baa baa,baa baa,,
item_2,moo,word,,produces,moo,moo,,
item_3,ouch,word,,produces,ouch,ouch,,
item_4,yum_yum,word,,produces,yum yum,yum yum,,
item_5,quack_quack,word,,produces,quack quack,quack quack,,
item_6,bird,word,,produces,bird,bird,,
item_7,duck,word,,produces,duck,duck,,
item_8,fish,word,,produces,fish,fish,,
item_9,kitty,word,,produces,kitty,kitty,,
item_10,moose,word,,produces,moose,moose,,
item_11,penguin,word,,produces,penguin,penguin,,
item_12,boat,word,,produces,boat,boat,,
item_13,truck,word,,produces,truck,truck,,
item_14,balloon,word,,produces,balloon,balloon,,
item_15,present,word,,produces,present,present,,
item_16,puzzle,word,,produces,puzzle,puzzle,,
item_17,cheese,word,,produces,cheese,cheese,,
item_18,chicken,word,,produces,chicken,chicken,,
item_19,cookie,word,,produces,cookie,cookie,,
item_20,juice,word,,produces,juice,juice,,
item_21,pretzel,word,,produces,pretzel,pretzel,,
item_22,salt,word,,produces,salt,salt,,
item_23,sauce,word,,produces,sauce,sauce,,
item_24,vanilla,word,,produces,vanilla,vanilla,,
item_25,cup,word,,produces,cup,cup,,
item_26,beads,word,,produces,beads,beads,,
item_27,hat,word,,produces,hat,hat,,
item_28,jeans,word,,produces,jeans,jeans,,
item_29,shoe,word,,produces,shoe,shoe,,
item_30,foot,word,,produces,feet,feet,,
item_30,feet,word,,produces,feet,feet,,
item_31,nose,word,,produces,nose,nose,,
item_32,tongue,word,,produces,tongue,tongue,,
item_33,bottle,word,,produces,bottle,bottle,,
item_34,bowl,word,,produces,bowl,bowl,,
item_35,clock,word,,produces,clock,clock,,
item_36,glass,word,,produces,glass,glass,,
item_37,jar,word,,produces,jar,jar,,
item_38,keys,word,,produces,keys,keys,,
item_39,light,word,,produces,light,light,,
item_40,telephone,word,,produces,telephone,telephone,,
item_41,bathtub,word,,produces,bathtub,bathtub,,
item_42,chair,word,,produces,chair,chair,,
item_43,crib,word,,produces,crib,crib,,
item_44,porch,word,,produces,porch,porch,,
item_45,sofa,word,,produces,sofa,sofa,,
item_46,cloud,word,,produces,cloud,cloud,,
item_47,hose,word,,produces,hose,hose,,
item_48,sidewalk,word,,produces,sidewalk,sidewalk,,
item_49,sun,word,,produces,sun,sun,,
item_50,house,word,,produces,house,house,,
item_51,store,word,,produces,store,store,,
item_52,zoo,word,,produces,zoo,zoo,,
item_53,baby,word,,produces,baby,baby,,
item_54,mommy,word,,produces,mommy,mommy,,
item_55,child,word,,produces,child,child,,
item_56,mailman,word,,produces,mailman,mailman,,
item_57,bath,word,,produces,bath,bath,,
item_58,bye,word,,produces,bye,bye,,
item_59,lunch,word,,produces,lunch,lunch,,
item_60,nightnight,word,,produces,night night,night night,,
item_61,no,word,,produces,no,no,,
item_62,bite,word,,produces,bite,bite,,
item_63,build,word,,produces,build,build,,
item_64,catch,word,,produces,catch,catch,,
item_65,drink,word,,produces,drink,drink,,
item_66,drop,word,,produces,drop,drop,,
item_67,find,word,,produces,find,find,,
item_68,go,word,,produces,go,go,,
item_69,hide,word,,produces,hide,hide,,
item_70,jump,word,,produces,jump,jump,,
item_71,kick,word,,produces,kick,kick,,
item_72,look,word,,produces,look,look,,
item_73,pick,word,,produces,pick,pick,,
item_74,run,word,,produces,run,run,,
item_75,sit,word,,produces,sit,sit,,
item_76,big,word,,produces,big,big,,
item_77,black,word,,produces,black,black,,
item_78,then,word,,produces,then,then,,
item_79,careful,word,,produces,careful,careful,,
item_80,dirty,word,,produces,dirty,dirty,,
item_81,fine,word,,produces,fine,fine,,
item_82,mad,word,,produces,mad,mad,,
item_83,noisy,word,,produces,noisy,noisy,,
item_84,slow,word,,produces,slow,slow,,
item_85,before,word,,produces,before,before,,
item_86,today,word,,produces,today,today,,
item_87,tomorrow,word,,produces,tomorrow,tomorrow,,
item_88,she,word,,produces,she,she,,
item_89,their,word,,produces,their,their,,
item_90,they,word,,produces,they,they,,
item_91,yourself,word,,produces,yourself,yourself,,
item_92,why,word,,produces,why,why,,
item_93,above,word,,produces,above,above,,
item_94,away,word,,produces,away,away,,
item_95,up,word,,produces,up,up,,
item_96,none,word,,produces,none,none,,
item_97,some,word,,produces,some,some,,
item_98,does,word,,produces,does,does,,
item_99,dont,word,,produces,don't,don't,,
item_100,were,word,,produces,were,were,,
item_101,combine,combine,,not yet; sometimes; often,"Has your child begun to combine words yet, such as ""nother cookie"" or ""doggie bite""?",,,
