itemID,item_type,pdf_header
item_1,word,au
item_2,word,beh_beh
item_3,word,beu
item_4,word,blub_blub
item_5,word,grrr
item_6,word,hallo
item_7,word,ie_aa
item_8,word,juu_juu
item_9,word,knor
item_10,word,kukelukuu
item_11,word,kwak
item_12,word,miauw
item_13,word,mjam_mjam
item_14,word,oh_ooh
item_15,word,piep
item_16,word,ssss
item_17,word,tik_tak
item_18,word,tjoek_tjoek
item_19,word,tuuta
item_20,word,vroem
item_21,word,waf_waf
item_22,word,aap
item_23,word,beer
item_24,word,bij
item_25,word,dier
item_26,word,eekhoorn
item_27,word,eend
item_28,word,egel
item_29,word,ezel
item_30,word,geit
item_31,word,giraf
item_32,word,haan
item_33,word,hamster
item_34,word,hert
item_35,word,hond
item_36,word,kat
item_37,word,kikker
item_38,word,kip.dier
item_39,word,koe
item_40,word,konijn
item_41,word,krokodil
item_42,word,lam
item_43,word,leeuw
item_44,word,luipaard
item_45,word,mier
item_46,word,mug
item_47,word,muis
item_48,word,olifant
item_49,word,paard
item_50,word,panter
item_51,word,papegaai
item_52,word,pinguin
item_53,word,pony
item_54,word,rups
item_55,word,schaap
item_56,word,schildpad
item_57,word,slang
item_58,word,spin
item_59,word,teddybeer
item_60,word,tijger
item_61,word,uil
item_62,word,varken
item_63,word,vis.dier
item_64,word,vlinder
item_65,word,vogel
item_66,word,vos
item_67,word,wolf
item_68,word,zebra
item_69,word,auto
item_70,word,boot
item_71,word,brandweerwagen
item_72,word,brommer
item_73,word,buggy
item_74,word,bulldozer
item_75,word,bus
item_76,word,fiets
item_77,word,helicopter
item_78,word,kraan
item_79,word,slee
item_80,word,tractor
item_81,word,tram
item_82,word,trein
item_83,word,vliegtuig
item_84,word,vrachtwagen
item_85,word,ziekenwagen
item_86,word,bal
item_87,word,ballon
item_88,word,blokken
item_89,word,boek
item_90,word,cadeau
item_91,word,klei
item_92,word,kleurpotloden
item_93,word,kralen
item_94,word,krijt
item_95,word,lijm
item_96,word,pen
item_97,word,pop
item_98,word,potlood
item_99,word,puzzel
item_100,word,schuim
item_101,word,speelgoed
item_102,word,spel
item_103,word,verhaal
item_104,word,vingerverf
item_105,word,aardappel
item_106,word,aardbeien
item_107,word,appel
item_108,word,appelmoes
item_109,word,appelsien
item_110,word,banaan
item_111,word,beschuit
item_112,word,boontjes
item_113,word,boter
item_114,word,boterham
item_115,word,brood
item_116,word,cake
item_117,word,chips
item_118,word,choco
item_119,word,chocolade
item_120,word,chocomousse
item_121,word,cola
item_122,word,cornflakes
item_123,word,drankje
item_124,word,druif
item_125,word,ei
item_126,word,erwtjes
item_127,word,eten
item_128,word,frietjes
item_129,word,fristi
item_130,word,fruitsap
item_131,word,gelei
item_132,word,hagelslag
item_133,word,hamburger
item_134,word,ijs
item_135,word,ijslolly
item_136,word,kaas
item_137,word,kauwgom
item_138,word,kip.eten
item_139,word,koekje
item_140,word,koffie
item_141,word,komkommer
item_142,word,kroketjes
item_143,word,lolly
item_144,word,melk
item_145,word,meloen
item_146,word,nootjes
item_147,word,pannenkoek
item_148,word,pap
item_149,word,peer
item_150,word,petit_gervais
item_151,word,pizza
item_152,word,popcorn
item_153,word,pudding
item_154,word,puree
item_155,word,rijst
item_156,word,rozijntjes
item_157,word,sandwich
item_158,word,saus
item_159,word,snoep
item_160,word,soep
item_161,word,spaghetti
item_162,word,stokbrood
item_163,word,suiker
item_164,word,taart
item_165,word,toast
item_166,word,vis.eten
item_167,word,vitamientjes
item_168,word,vlees
item_169,word,water.drank
item_170,word,worst
item_171,word,wortel
item_172,word,yoghurt
item_173,word,zout
item_174,word,ketting
item_175,word,handschoenen
item_176,word,hemd
item_177,word,hoed
item_178,word,jas
item_179,word,jeans
item_180,word,kleedje
item_181,word,knoop
item_182,word,kous
item_183,word,kousebroek
item_184,word,laarsjes
item_185,word,broek
item_186,word,luier
item_187,word,muts
item_188,word,onderbroek
item_189,word,onderhemd
item_190,word,pantoffels
item_191,word,pet
item_192,word,pyjama
item_193,word,riem
item_194,word,rits
item_195,word,schoen
item_196,word,short
item_197,word,sjaal
item_198,word,slabbetje
item_199,word,trui
item_200,word,T-shirt
item_201,word,tut
item_202,word,zwembroek
item_203,word,arm
item_204,word,been
item_205,word,billen
item_206,word,borst
item_207,word,buik
item_208,word,duim
item_209,word,enkel
item_210,word,gezicht
item_211,word,haar
item_212,word,hand
item_213,word,hoofd
item_214,word,kin
item_215,word,knie
item_216,word,lippen
item_217,word,mond
item_218,word,nagel
item_219,word,navel
item_220,word,nek
item_221,word,neus
item_222,word,oog
item_223,word,oor
item_224,word,piemel
item_225,word,rug
item_226,word,schouder
item_227,word,tanden
item_228,word,teen
item_229,word,tong
item_230,word,vagina
item_231,word,vinger
item_232,word,voeten
item_233,word,wang
item_234,word,bord
item_235,word,borstel
item_236,word,bril
item_237,word,camera
item_238,word,computer
item_239,word,deken
item_240,word,doos
item_241,word,dweil
item_242,word,emmer
item_243,word,fles
item_244,word,foto
item_245,word,geld
item_246,word,glas
item_247,word,hamer
item_248,word,handdoek
item_249,word,kam
item_250,word,kan
item_251,word,kom
item_252,word,krant
item_253,word,kussen
item_254,word,lamp
item_255,word,lepel
item_256,word,mand
item_257,word,medicijn
item_258,word,mes
item_259,word,nagel
item_260,word,plakband
item_261,word,plant
item_262,word,portemonnee
item_263,word,pot
item_264,word,radio
item_265,word,rommel
item_266,word,schaar
item_267,word,schilderij
item_268,word,servet
item_269,word,shampoo
item_270,word,sleutels
item_271,word,spaarpot
item_272,word,stofzuiger
item_273,word,tandenborstel
item_274,word,tas
item_275,word,tekening
item_276,word,telefoon
item_277,word,uurwerk
item_278,word,video
item_279,word,vork
item_280,word,vuilbak
item_281,word,vuilnis
item_282,word,vuur
item_283,word,washandje
item_284,word,zakdoek
item_285,word,zeep
item_286,word,box
item_287,word,bad
item_288,word,badkamer
item_289,word,bed
item_290,word,deur
item_291,word,douche
item_292,word,droogkast
item_293,word,garage
item_294,word,gootsteen
item_295,word,kachel
item_296,word,kamer
item_297,word,kast
item_298,word,kelder
item_299,word,keuken
item_300,word,kinderstoel
item_301,word,koelkast
item_302,word,lade
item_303,word,oven
item_304,word,potje
item_305,word,schommelstoel
item_306,word,slaapkamer
item_307,word,spiegel
item_308,word,stoel
item_309,word,tafel
item_310,word,terras
item_311,word,trap
item_312,word,tv
item_313,word,venster
item_314,word,veranda
item_315,word,w.c.
item_316,word,wasmachine
item_317,word,wieg
item_318,word,woonkamer
item_319,word,zetel
item_320,word,bloem
item_321,word,boom
item_322,word,dak
item_323,word,gieter
item_324,word,glijbaan
item_325,word,gras
item_326,word,grasmachine
item_327,word,ladder
