age,quantile,predicted,Instrument,measure
8,0.1,0,English_WG,production
9,0.1,0,English_WG,production
10,0.1,0,English_WG,production
11,0.1,0.035161449,English_WG,production
12,0.1,0.370376857,English_WG,production
13,0.1,1.1425803482,English_WG,production
14,0.1,2.3543305181,English_WG,production
15,0.1,4.0056273665,English_WG,production
16,0.1,6.0964708935,English_WG,production
17,0.1,8.6268610991,English_WG,production
18,0.1,11.5967979833,English_WG,production
8,0.15,0,English_WG,production
9,0.15,0,English_WG,production
10,0.15,0.0518248488,English_WG,production
11,0.15,0.3322280194,English_WG,production
12,0.15,0.93640798,English_WG,production
13,0.15,2.1385513838,English_WG,production
14,0.15,3.9415450154,English_WG,production
15,0.15,6.345388875,English_WG,production
16,0.15,9.3500829625,English_WG,production
17,0.15,12.9556272779,English_WG,production
18,0.15,17.1620218212,English_WG,production
8,0.2,0,English_WG,production
9,0.2,0,English_WG,production
10,0.2,0.1659885577,English_WG,production
11,0.2,0.5590159221,English_WG,production
12,0.2,1.4897930555,English_WG,production
13,0.2,3.1069426759,English_WG,production
14,0.2,5.4104647834,English_WG,production
15,0.2,8.4003593778,English_WG,production
16,0.2,12.0766264594,English_WG,production
17,0.2,16.4392660279,English_WG,production
18,0.2,21.4882780835,English_WG,production
8,0.25,0,English_WG,production
9,0.25,0,English_WG,production
10,0.25,0.3406731149,English_WG,production
11,0.25,0.8982603861,English_WG,production
12,0.25,2.0294907612,English_WG,production
13,0.25,4.0420134342,English_WG,production
14,0.25,6.9378396625,English_WG,production
15,0.25,10.7169694463,English_WG,production
16,0.25,15.3794027854,English_WG,production
17,0.25,20.92513968,English_WG,production
18,0.25,27.35418013,English_WG,production
8,0.3,0,English_WG,production
9,0.3,0.0790772776,English_WG,production
10,0.3,0.4898777538,English_WG,production
11,0.3,1.1965152688,English_WG,production
12,0.3,2.702012578,English_WG,production
13,0.3,5.1368423431,English_WG,production
14,0.3,8.5010045643,English_WG,production
15,0.3,12.7944992414,English_WG,production
16,0.3,18.0173263746,English_WG,production
17,0.3,24.1694859638,English_WG,production
18,0.3,31.250978009,English_WG,production
8,0.35,0,English_WG,production
9,0.35,0.2008099377,English_WG,production
10,0.35,0.8358372068,English_WG,production
11,0.35,1.838463474,English_WG,production
12,0.35,3.4001552297,English_WG,production
13,0.35,6.1505899801,English_WG,production
14,0.35,10.1434492033,English_WG,production
15,0.35,15.3787328993,English_WG,production
16,0.35,21.8564410681,English_WG,production
17,0.35,29.5765737097,English_WG,production
18,0.35,38.5391308241,English_WG,production
8,0.4,0,English_WG,production
9,0.4,0.3001016769,English_WG,production
10,0.4,1.0490684216,English_WG,production
11,0.4,2.2315904454,English_WG,production
12,0.4,4.0670577102,English_WG,production
13,0.4,7.2769798846,English_WG,production
14,0.4,11.9228673532,English_WG,production
15,0.4,18.0047201159,English_WG,production
16,0.4,25.5225381728,English_WG,production
17,0.4,34.4763215238,English_WG,production
18,0.4,44.8660701689,English_WG,production
8,0.45,0.0788766858,English_WG,production
9,0.45,0.474000575,English_WG,production
10,0.45,1.4122500851,English_WG,production
11,0.45,2.8936614676,English_WG,production
12,0.45,5.28128062,English_WG,production
13,0.45,9.0730359697,English_WG,production
14,0.45,14.274556924,English_WG,production
15,0.45,20.885843483,English_WG,production
16,0.45,28.9068956467,English_WG,production
17,0.45,38.3377134149,English_WG,production
18,0.45,49.1782967878,English_WG,production
8,0.5,0.4405712093,English_WG,production
9,0.5,0.8724250715,English_WG,production
10,0.5,1.8978924899,English_WG,production
11,0.5,3.5169734647,English_WG,production
12,0.5,5.9923260731,English_WG,production
13,0.5,10.1877562097,English_WG,production
14,0.5,16.1769053446,English_WG,production
15,0.5,23.9597734779,English_WG,production
16,0.5,33.5363606096,English_WG,production
17,0.5,44.9066667397,English_WG,production
18,0.5,58.0706918682,English_WG,production
8,0.55,0.5137572728,English_WG,production
9,0.55,1.0131810665,English_WG,production
10,0.55,2.1990980474,English_WG,production
11,0.55,4.0715578346,English_WG,production
12,0.55,7.1274762822,English_WG,production
13,0.55,12.0483885117,English_WG,production
14,0.55,18.8419997245,English_WG,production
15,0.55,27.5083099206,English_WG,production
16,0.55,38.0473191,English_WG,production
17,0.55,50.4590272626,English_WG,production
18,0.55,64.7434344086,English_WG,production
8,0.6,1.0214738864,English_WG,production
9,0.6,1.5939719609,English_WG,production
10,0.6,2.9534089694,English_WG,production
11,0.6,5.0997849119,English_WG,production
12,0.6,8.2906413136,English_WG,production
13,0.6,13.8313612145,English_WG,production
14,0.6,21.951425264,English_WG,production
15,0.6,32.6508334621,English_WG,production
16,0.6,45.9295858088,English_WG,production
17,0.6,61.7876823042,English_WG,production
18,0.6,80.2251229481,English_WG,production
