"language","measure","age","words","lexical_classes"
"English","produces",20,"airplane","nouns"
"English","understands",15,"airplane","nouns"
"English","produces",26,"all","function_words"
"English","produces",18,"all gone","adjectives"
"English","understands",10,"all gone","adjectives"
"English","produces",24,"animal","nouns"
"English","understands",18,"animal","nouns"
"English","produces",28,"another","function_words"
"English","produces",18,"apple","nouns"
"English","understands",14,"apple","nouns"
"English","produces",21,"arm","nouns"
"English","understands",16,"arm","nouns"
"English","produces",24,"asleep","adjectives"
"English","understands",18,"asleep","adjectives"
"English","produces",25,"aunt","other"
"English","produces",28,"away","function_words"
"English","produces",17,"baa baa","other"
"English","understands",14,"baa baa","other"
"English","produces",16,"baby","other"
"English","understands",11,"baby","other"
"English","produces",26,"babysitter's name","other"
"English","produces",26,"back","function_words"
"English","understands",18,"back","function_words"
"English","produces",28,"backyard","nouns"
"English","understands",18,"backyard","nouns"
"English","produces",25,"bad","adjectives"
"English","understands",18,"bad","adjectives"
"English","produces",14,"ball","nouns"
"English","understands",10,"ball","nouns"
"English","produces",18,"balloon","nouns"
"English","understands",13,"balloon","nouns"
"English","produces",16,"banana","nouns"
"English","understands",12,"banana","nouns"
"English","produces",18,"bath","other"
"English","understands",9,"bath","other"
"English","produces",23,"bathroom","nouns"
"English","understands",14,"bathroom","nouns"
"English","produces",22,"bathtub","nouns"
"English","understands",12,"bathtub","nouns"
"English","produces",27,"beach","nouns, other"
"English","produces",30,"beads","nouns"
"English","produces",19,"bear","nouns"
"English","understands",16,"bear","nouns"
"English","produces",20,"bed","nouns"
"English","understands",14,"bed","nouns"
"English","produces",25,"bedroom","nouns"
"English","understands",16,"bedroom","nouns"
"English","produces",22,"bee","nouns"
"English","understands",18,"bee","nouns"
"English","produces",20,"belly button","nouns"
"English","understands",14,"belly button","nouns"
"English","produces",22,"bib","nouns"
"English","understands",16,"bib","nouns"
"English","produces",21,"bicycle","nouns"
"English","understands",17,"bicycle","nouns"
"English","produces",22,"big","adjectives"
"English","understands",18,"big","adjectives"
"English","produces",18,"bird","nouns"
"English","understands",13,"bird","nouns"
"English","produces",22,"bite","verbs"
"English","understands",13,"bite","verbs"
"English","produces",20,"blanket","nouns"
"English","understands",13,"blanket","nouns"
"English","produces",22,"block","nouns"
"English","understands",15,"block","nouns"
"English","produces",24,"blow","verbs"
"English","understands",14,"blow","verbs"
"English","produces",22,"blue","adjectives"
"English","produces",16,"book","nouns"
"English","understands",11,"book","nouns"
"English","produces",22,"boots","nouns"
"English","produces",18,"bottle","nouns"
"English","understands",8,"bottle","nouns"
"English","produces",23,"bowl","nouns"
"English","understands",16,"bowl","nouns"
"English","produces",22,"box","nouns"
"English","understands",17,"box","nouns"
"English","produces",23,"boy","other"
"English","produces",22,"bread","nouns"
"English","understands",14,"bread","nouns"
"English","produces",25,"break","verbs"
"English","produces",24,"breakfast","other"
"English","understands",14,"breakfast","other"
"English","produces",26,"bring","verbs"
"English","understands",13,"bring","verbs"
"English","produces",23,"broken","adjectives"
"English","understands",18,"broken","adjectives"
"English","produces",23,"broom","nouns"
"English","understands",16,"broom","nouns"
"English","produces",26,"brother","other"
"English","produces",22,"brush","nouns"
"English","understands",13,"brush","nouns"
"English","produces",18,"bubbles","nouns"
"English","understands",15,"bubbles","nouns"
"English","produces",21,"bug","nouns"
"English","understands",18,"bug","nouns"
"English","produces",26,"bump","verbs"
"English","understands",18,"bump","verbs"
"English","produces",20,"bunny","nouns"
"English","understands",14,"bunny","nouns"
"English","produces",21,"bus","nouns"
"English","understands",17,"bus","nouns"
"English","produces",24,"butter","nouns"
"English","produces",23,"butterfly","nouns"
"English","produces",22,"button","nouns"
"English","understands",16,"button","nouns"
"English","produces",14,"bye","other"
"English","understands",8,"bye","other"
"English","produces",22,"cake","nouns"
"English","produces",22,"candy","nouns"
"English","understands",18,"candy","nouns"
"English","produces",18,"car","nouns"
"English","understands",11,"car","nouns"
"English","produces",26,"careful","adjectives"
"English","understands",14,"careful","adjectives"
"English","produces",24,"carrots","nouns"
"English","understands",18,"carrots","nouns"
"English","produces",18,"cat","nouns"
"English","understands",13,"cat","nouns"
"English","produces",22,"cereal","nouns"
"English","understands",15,"cereal","nouns"
"English","produces",21,"chair","nouns"
"English","understands",14,"chair","nouns"
"English","produces",22,"cheek","nouns"
"English","understands",18,"cheek","nouns"
"English","produces",23,"cheerios","nouns"
"English","understands",11,"cheerios","nouns"
"English","produces",18,"cheese","nouns"
"English","understands",14,"cheese","nouns"
"English","produces",22,"chicken (animal)","nouns"
"English","understands",18,"chicken (animal)","nouns"
"English","produces",22,"chicken (food)","nouns"
"English","produces",19,"child's own name","other"
"English","understands",8,"child's own name","other"
"English","produces",19,"choo choo","other"
"English","understands",16,"choo choo","other"
"English","produces",26,"church*","nouns, other"
"English","produces",24,"clean (action)","verbs"
"English","understands",16,"clean (action)","verbs"
"English","produces",24,"clean (description)","adjectives"
"English","understands",18,"clean (description)","adjectives"
"English","produces",23,"clock","nouns"
"English","understands",18,"clock","nouns"
"English","produces",24,"close","verbs"
"English","understands",15,"close","verbs"
"English","produces",22,"coat","nouns"
"English","understands",17,"coat","nouns"
"English","produces",24,"cockadoodledoo","other"
"English","understands",18,"cockadoodledoo","other"
"English","produces",24,"coffee","nouns"
"English","produces",21,"cold","adjectives"
"English","understands",16,"cold","adjectives"
"English","produces",25,"comb","nouns"
"English","understands",16,"comb","nouns"
"English","produces",18,"cookie","nouns"
"English","understands",13,"cookie","nouns"
"English","produces",24,"couch","nouns"
"English","understands",16,"couch","nouns"
"English","produces",19,"cow","nouns"
"English","understands",15,"cow","nouns"
"English","produces",18,"cracker","nouns"
