id,English_WG,English_WG2,English_WS,English_WS2,Spanish_WG,Spanish_WS,Spanish_WG2,Spanish_WS2,French_Quebec_WG,French_Quebec_WS,French_Quebec_WG2,French_Quebec_WS2,Dutch_WG,Dutch_WS,English_CDI3,English_CDI3B,English_L1,English_L1B,English_L2A,English_L2AB,English_L2B,English_L2BB,Canadian_English_WG,Canadian_English_WG2,Canadian_English_WS,Canadian_English_WS2,Korean_WS
action_words,Action Words,Action Words,Action Words,Action Words,Acciones y Procesos (Verbos),Acciones y Procesos (Verbos),Acciones y Procesos (Verbos),Acciones y Procesos (Verbos),Verbes D’action,Verbes,Verbes D’action,Verbes,Werkwoorden,Werkwoorden,,,,,,,,,Action Words,Action Words,Action Words,Action Words,동사
animals,Animals (Real Or Toy),Animals (Real Or Toy),Animals (Real Or Toy),Animals (Real Or Toy),Animales (de Verdad y de Juguete),Animales (de Verdad y de Juguete),Animales (de Verdad y de Juguete),Animales (de Verdad y de Juguete),Animaux (réels ou jouets),Animaux (réels ou jouets),Animaux (réels ou jouets),Animaux (réels ou jouets),Dierennamen,Dierennamen,,,,,,,,,Animals (Real Or Toy),Animals (Real Or Toy),Animals (Real Or Toy),Animals (Real Or Toy),동물
articles,,,,,Artículos,,Artículos,,,,,,,,,,,,,,,,,,,,
body_parts,Body Parts,Body Parts,Body Parts,Body Parts,Partes del Cuerpo,Partes del Cuerpo,Partes del Cuerpo,Partes del Cuerpo,Parties du Corps,Parties du Corps,Parties du Corps,Parties du Corps,Delen van het lichaam,Delen van het lichaam,,,,,,,,,Body Parts,Body Parts,Body Parts,Body Parts,신체 부위
clothing,Clothing,Clothing,Clothing,Clothing,Ropa,Ropa,Ropa,Ropa,Vêtements,Vêtements,Vêtements,Vêtements,Kleding,Kleding,,,,,,,,,Clothing,Clothing,Clothing,Clothing,옷
connecting_words,,,Connecting Words,Connecting Words,,Conectivos,,Conectivos,,Conjonctions,,Conjonctions,,Voegwoorden,,,,,,,,,,,Connecting Words,Connecting Words,연결하는 말
descriptive_words,Descriptive Words,Descriptive Words,Descriptive Words,Descriptive Words,Cualidades y Atributos,Cualidades y Atributos,Cualidades y Atributos,Cualidades y Atributos,Mots Descriptifs,Mots Descriptifs,Mots Descriptifs,Mots Descriptifs,Omschrijvende woorden,Omschrijvende woorden,,,,,,,,,Descriptive Words,Descriptive Words,Descriptive Words,Descriptive Words,형용사
food_drink,Food And Drink,Food And Drink,Food And Drink,Food And Drink,Alimentos y Bebidas,Alimentos y Bebidas,Alimentos y Bebidas,Alimentos y Bebidas,Nourriture et Boissons,Nourriture et Boissons,Nourriture et Boissons,Nourriture et Boissons,Eten en drinken,Eten en drinken,,,,,,,,,Food And Drink,Food And Drink,Food And Drink,Food And Drink,음식
furniture_rooms,Furniture And Rooms,Furniture And Rooms,Furniture And Rooms,Furniture And Rooms,Muebles y Cuartos,Muebles y Cuartos,Muebles y Cuartos,Muebles y Cuartos,Meubles et Pièces,Meubles et Pièces,Meubles et Pièces,Meubles et Pièces,Meubels en kamers,Meubels en kamers,,,,,,,,,Furniture And Rooms,Furniture And Rooms,Furniture And Rooms,Furniture And Rooms,가구 및 방안
games_routines,Games And Routines,Games And Routines,Games And Routines,Games And Routines,"Rutina Diaria, Reglas Sociales y Juegos","Rutina Diaria, Reglas Sociales y Juegos","Rutina Diaria, Reglas Sociales y Juegos","Rutina Diaria, Reglas Sociales y Juegos",Jeux et Routines,Jeux et Routines,Jeux et Routines,Jeux et Routines,Spelletjes en routines,Spelletjes en routines,,,,,,,,,Games And Routines,Games And Routines,Games And Routines,Games And Routines,일상생활
