zip_code,zip_prefix,population,state
03601,036,13658,NH
03602,036,13658,NH
03603,036,13658,NH
03604,036,13658,NH
03605,036,13658,NH
03607,036,13658,NH
03608,036,13658,NH
03609,036,13658,NH
05901,036,3721,NH
05902,036,3721,NH
05903,036,3721,NH
05904,036,3721,NH
05905,036,3721,NH
05906,036,3721,NH
05907,036,3721,NH
10271,102,13117,NY
10278,102,13117,NY
10279,102,13117,NY
10280,102,13117,NY
10282,102,13117,NY
20202,202,0,DC
20204,202,0,DC
20228,202,0,DC
20230,202,0,DC
20240,202,0,DC
20245,202,0,DC
20260,202,0,DC
20307,203,715,DC
20317,203,715,DC
20319,203,715,DC
20373,203,715,DC
20390,203,715,DC
20405,204,0,DC
20418,204,0,DC
20427,204,0,DC
20506,205,0,DC
20510,205,0,DC
20520,205,0,DC
20535,205,0,DC
20540,205,0,DC
20551,205,0,DC
20553,205,0,DC
20560,205,0,DC
20565,205,0,DC
20566,205,0,DC
20593,205,0,DC
36901,369,19910,AL
36904,369,19910,AL
36907,369,19910,AL
36908,369,19910,AL
36910,369,19910,AL
36912,369,19910,AL
36913,369,19910,AL
36915,369,19910,AL
36916,369,19910,AL
36919,369,19910,AL
36921,369,19910,AL
36922,369,19910,AL
36925,369,19910,AL
55601,556,15936,MN
55602,556,15936,MN
55603,556,15936,MN
55604,556,15936,MN
55605,556,15936,MN
55606,556,15936,MN
55607,556,15936,MN
55609,556,15936,MN
55612,556,15936,MN
55613,556,15936,MN
55614,556,15936,MN
55615,556,15936,MN
55616,556,15936,MN
69201,692,8470,NE
69210,692,8470,NE
69211,692,8470,NE
69212,692,8470,NE
69214,692,8470,NE
69216,692,8470,NE
69217,692,8470,NE
69218,692,8470,NE
69219,692,8470,NE
69220,692,8470,NE
69221,692,8470,NE
75390,753,0,TX
77201,772,0,TX
82190,821,781,WY
82301,823,16164,WY
82321,823,16164,WY
82322,823,16164,WY
82323,823,16164,WY
82324,823,16164,WY
82325,823,16164,WY
82327,823,16164,WY
82329,823,16164,WY
82331,823,16164,WY
82332,823,16164,WY
82334,823,16164,WY
82335,823,16164,WY
82336,823,16164,WY
87801,878,18305,NM
87820,878,18305,NM
87821,878,18305,NM
87823,878,18305,NM
87824,878,18305,NM
87825,878,18305,NM
87827,878,18305,NM
87828,878,18305,NM
87829,878,18305,NM
87830,878,18305,NM
87831,878,18305,NM
87832,878,18305,NM
87901,879,15625,NM
87930,879,15625,NM
87931,879,15625,NM
87933,879,15625,NM
87935,879,15625,NM
87936,879,15625,NM
87937,879,15625,NM
87939,879,15625,NM
87940,879,15625,NM
87941,879,15625,NM
87942,879,15625,NM
87943,879,15625,NM
88401,884,17184,NM
88410,884,17184,NM
88411,884,17184,NM
88414,884,17184,NM
88415,884,17184,NM
88416,884,17184,NM
88417,884,17184,NM
88418,884,17184,NM
88419,884,17184,NM
88421,884,17184,NM
88422,884,17184,NM
88424,884,17184,NM
88426,884,17184,NM
88427,884,17184,NM
88430,884,17184,NM
88431,884,17184,NM
88434,884,17184,NM
88435,884,17184,NM
88436,884,17184,NM
89301,893,12178,NV
89310,893,12178,NV
89311,893,12178,NV
89314,893,12178,NV
89316,893,12178,NV
89317,893,12178,NV
89318,893,12178,NV
89319,893,12178,NV
