Code,Researcher,Created,Modified,Instrument Family,Applied
UDHAM3XXLG2H8Q1,,2023-03-17 17:18:31.534168+00:00,2023-03-17 17:18:31.534243+00:00,,
OCCXCPA4L9WC8DK,,2023-03-17 17:18:31.710742+00:00,2023-03-17 17:18:31.710785+00:00,,
3TX9BNU0JR83D9I,,2023-03-17 17:18:31.888316+00:00,2023-03-17 17:18:31.888350+00:00,,
HCJE0CQZWBY9OCT,,2023-03-17 17:18:32.066500+00:00,2023-03-17 17:18:32.066537+00:00,,
EN4ZGJDJ6PKAPI0,,2023-03-17 17:18:32.244715+00:00,2023-03-17 17:18:32.244770+00:00,,
W23U7QN02JV6NS8,,2023-03-17 17:18:32.655912+00:00,2023-03-17 17:18:32.655929+00:00,,
F340EY4024MW42S,,2023-03-17 17:18:32.833810+00:00,2023-03-17 17:18:32.833847+00:00,,
E6IMG0E1QGPKFBF,,2023-03-17 17:18:33.012935+00:00,2023-03-17 17:18:33.012965+00:00,,
B7BIAUAKY2EC58S,,2023-03-17 17:18:33.195550+00:00,2023-03-17 17:18:33.195567+00:00,,
U923981O2OQN94B,,2023-03-17 17:18:33.374112+00:00,2023-03-17 17:18:33.374140+00:00,,
S8C5PCM1JGJ2AZV,,2023-03-17 17:18:33.587759+00:00,2023-03-17 17:18:33.587776+00:00,,
UX0GJ40S3UE8PHG,,2023-03-17 17:18:33.770250+00:00,2023-03-17 17:18:33.770284+00:00,,
9XE21GATK523021,,2023-03-17 17:18:33.945947+00:00,2023-03-17 17:18:33.946053+00:00,,
QM1P6ZFUK88OM7M,,2023-03-17 17:18:34.133860+00:00,2023-03-17 17:18:34.133877+00:00,,
4AQ2X0MGH4EQSEX,,2023-03-17 17:18:34.371130+00:00,2023-03-17 17:18:34.371165+00:00,,
4MK0YOHYTEHFL89,,2023-03-17 17:18:34.726644+00:00,2023-03-17 17:18:34.726662+00:00,,
FYR2XDMOBYDYBE5,,2023-03-17 17:18:34.905797+00:00,2023-03-17 17:18:34.905833+00:00,,
Q9S0DH2QIJNTPIO,,2023-03-17 17:18:35.264351+00:00,2023-03-17 17:18:35.264400+00:00,,
UU7LRJY2MU3F19E,,2023-03-17 17:18:35.625355+00:00,2023-03-17 17:18:35.625393+00:00,,
GHVE16AC6OBZECP,,2023-03-17 17:18:35.800549+00:00,2023-03-17 17:18:35.800567+00:00,,
W0KVADIGF6STJO2,,2023-03-17 17:18:35.977055+00:00,2023-03-17 17:18:35.977074+00:00,,
CQLNS3RF0N3FHWI,,2023-03-17 17:18:36.154763+00:00,2023-03-17 17:18:36.154780+00:00,,
PMGJUEWS209NKAA,,2023-03-17 17:18:36.371509+00:00,2023-03-17 17:18:36.371538+00:00,,
GC0O06O4KQ3KMON,,2023-03-17 17:18:36.645433+00:00,2023-03-17 17:18:36.645450+00:00,,
XI1JNCA5M20C394,,2023-03-17 17:18:36.920540+00:00,2023-03-17 17:18:36.920559+00:00,,
6U61KOY7DSY90ZH,,2023-03-17 17:18:37.126416+00:00,2023-03-17 17:18:37.126455+00:00,,
QKP9TQ6CP41P19F,,2023-03-17 17:18:37.311904+00:00,2023-03-17 17:18:37.311996+00:00,,
LVV72F9QLP0IBHO,,2023-03-17 17:18:37.495633+00:00,2023-03-17 17:18:37.495681+00:00,,
YBZU7ZOPA9YSITO,,2023-03-17 17:18:37.672935+00:00,2023-03-17 17:18:37.672970+00:00,,
