"index","item","response","theta"
115,"足 (あし)",1,0.102876231029074
584,"お買い物 (おかいもの)",0,-0.163463965152764
151,"トイレ",1,-0.0288383690395665
83,"肉 (にく)",0,-0.0977574740568949
264,"遊ぶ (あそぶ)",1,-0.0509103181844351
277,"帰る (かえる)",0,-0.0889063728512529
208,"公園 (こうえん)",1,-0.0552524511906475
199,"お仕事 (おしごと)",1,-0.0103912921198266
271,"歌う (うたう)",0,-0.025966122955254
299,"脱ぐ (ぬぐ)",0,-0.0415614437053165
302,"乗る (のる)",0,-0.0540887274131673
122,"顔 (かお)",1,-0.039775539941844
139,"階段 (かいだん)",1,-0.0220000149354739
701,"全部 (ぜんぶ)",1,0.00218777583778332
185,"鋏 (はさみ)",1,0.0228461442733853
596,"買う (かう)",0,0.0139498629404069
314,"読む (よむ)",0,0.0036147499444929
281,"着る (きる)",0,-0.00712823942283258
297,"泣く (なく)",1,0.00536201469140886
624,"走る (はしる)",0,-0.000806834555584464
265,"洗う (あらう)",1,0.00862072901581954
190,"布団 (ふとん)",0,0.000109703148349584
499,"ハンバーグ",0,-0.0109496526296041
161,"お皿 (おさら)",1,-0.0038054957583232
310,"持つ (もつ)",0,-0.00952157891098602
