"index","item","response","theta"
326,"leg",1,0.610252127229123
206,"find",1,0.974004676410061
344,"make",0,0.775033825401855
136,"closet",1,0.898892729004661
503,"show (action)",1,1.02394879197857
263,"hard",1,1.12904336388296
215,"fit (action)",0,1.04410573138701
427,"pick",0,0.977636958659106
269,"hear",1,1.02420160786196
659,"with",1,1.0822751600898
151,"cover (action)",1,1.12977832255705
337,"long",0,1.09720580113159
451,"pour",1,1.13510689945165
519,"slow",0,1.09785870405231
506,"sidewalk",0,1.05234081492998
563,"take",1,1.07467578809244
377,"new",0,1.04280736166089
89,"build",0,1.00631083576071
205,"feed",0,0.967185072404636
536,"spill",0,0.930464644415911
542,"stand",1,0.948061247001965
266,"have",1,0.961901022657071
622,"under",1,0.979675058796742
632,"wake",0,0.95281408845213
188,"dry (action)",1,0.967353201170302
