"index","item","response","theta"
148,"couche (vêtements)",1,0.110336168976716
479,"avec",1,0.544475699407501
607,"renverser",1,0.842464936092031
442,"entrée (lieu)",1,1.04692826753536
625,"penser",0,0.901505786986773
572,"long/longue",1,0.994513472897752
575,"neuf/neuve",1,1.0918572442956
618,"souhaiter",0,1.02890404618995
494,"leur",1,1.11529490036121
580,"lent/lente",0,1.05690921272679
627,"couvrir",1,1.10373248076304
543,"devoir faire",1,1.15597754681346
596,"détester",1,1.23571369611054
531,"infirmière",0,1.20244768775575
468,"autour de",1,1.23181168398288
287,"sombre",1,1.27966432905087
484,"chaque",0,1.25023832045886
539,"pourrait",0,1.21579272107021
492,"notre",1,1.23467395088994
593,"déposer",0,1.20986157306049
507,"donc",0,1.1811633555167
478,"par-dessus",0,1.1555919019268
632,"eux",0,1.12462087233187
444,"pièce (lieu)",0,1.07943998634117
489,"ses",0,1.04369004858204
