"index","item","response","theta"
115,"足 (あし)",1,0.102876231029074
584,"お買い物 (おかいもの)",1,0.34047994992089
618,"舐める (なめる)",1,0.602108625888934
694,"周り (まわり)",1,0.856285915740482
684,"角 (かど)",1,1.05755638383877
685,"隅 (すみ)",0,0.883123258715081
683,"内 (うち)",1,0.945645347593064
568,"デパート",1,1.00025515881696
579,"看護師さん (かんごしさん)",0,0.902689113806267
545,"ポット",1,0.933878757524327
675,"そんな",1,0.953782506533202
514,"ネクタイ",0,0.903839417960309
691,"端 (はし)",1,0.917887968363743
669,"あんな",0,0.885875960377789
529,"たたみ",0,0.862434219342197
570,"森 (もり)",1,0.875376540657155
682,"あいだ",0,0.832900657348972
640,"夕方 (ゆうがた)",1,0.843276411464592
575,"王様 (おうさま)",1,0.854814908263246
558,"ホース",1,0.863964017799807
536,"釘 (くぎ)",0,0.851228678747075
515,"ネックレス",0,0.832599193405387
538,"雑巾 (ぞうきん)",1,0.840676242235312
540,"ナイフ",1,0.848003351835155
706,"そして",0,0.837908685818573
