"index","item","response","theta"
326,"leg",1,0.610252127229123
206,"find",0,0.430299736949153
314,"kitchen",0,0.239979031250675
562,"table",0,0.12231084230447
514,"sleep",0,0.0244927064922031
21,"arm",1,0.117636358204232
467,"rain",0,0.0346963939913953
208,"finger",0,-0.0410616093242959
261,"hand",1,0.0153257972216903
222,"fork",0,-0.0375233167115182
115,"chair",1,-0.000161200655451051
411,"pants",0,-0.0389882804273965
50,"bed",1,-0.00842183010249367
497,"shirt",1,0.0292503124599977
268,"head",0,-0.0110379536841644
432,"pillow",0,-0.0373316608537699
412,"paper",0,-0.0580500042682558
220,"foot",1,-0.0359975440216691
436,"play",0,-0.0534589808357625
528,"soap",1,-0.0182859541188842
62,"big",1,0.0111039669194936
604,"towel",0,-0.00338476127943446
372,"nap",0,-0.0198686302802615
614,"tummy",0,-0.0417681091997609
298,"ice cream",1,-0.0199199353168873
