"index","item","response","theta"
125,"cama",1,0.361718465526741
170,"cocina",1,0.825745677798327
109,"buscar",0,0.624316312341782
619,"tijeras",0,0.480543813238867
624,"toalla",1,0.604428793460862
311,"hojas",1,0.71043711329059
205,"despierto",0,0.647772547431818
256,"espejo",1,0.706310065822507
265,"estufa",1,0.766089406549494
241,"entrar",0,0.722070043900521
248,"esconder(se)",0,0.684414000312935
77,"barrer",1,0.720310572821312
550,"rodilla",1,0.757155977284913
185,"cortar",1,0.812009371936703
234,"encontrar",0,0.789371472547801
556,"roto",1,0.827229152482769
357,"limpio",0,0.797828280034575
299,"gustar",0,0.76910782677643
402,"mojado",0,0.732158321163774
271,"fiesta",1,0.750263385622103
64,"ayudar",1,0.771665685407119
497,"pinturas",0,0.752077259591997
195,"cuchillo",1,0.765594037506278
118,"cajón",1,0.784135116525468
610,"tenedor",0,0.763198301970891
