"index","item","response","theta"
125,"cama",1,0.361718465526741
170,"cocina",0,0.15866504084499
91,"bolsa (utensilios de la casa)",0,-0.0298447029253753
323,"jabón",0,-0.184695793343625
479,"pelo",0,-0.294728383964108
581,"silla",0,-0.374741644736751
89,"boca",0,-0.465058882786716
379,"mano",0,-0.543243938482264
434,"ojos",0,-0.588780978606984
480,"pelota",1,-0.521550872746448
112,"cabeza",1,-0.402887616371231
514,"pollo",0,-0.434242520155763
451,"pañal",1,-0.373696027590358
74,"baño",1,-0.30210749249098
419,"nariz",0,-0.32484311370502
140,"casa",1,-0.274745255419902
392,"mesa",1,-0.22444783451741
505,"plato",0,-0.242168954835003
201,"dedo",1,-0.200134828121368
209,"dientes",0,-0.215336636409066
454,"panza",1,-0.184026608237798
78,"basura",0,-0.197784642184091
144,"cepillo",1,-0.157644331658736
194,"cuchara",0,-0.171618524210713
493,"pies",1,-0.151337301970841
