itemID,item_type,pdf_header
item_1,word,baa baa
item_2,word,choo choo
item_3,word,cockadoodledoo
item_4,word,grrr
item_5,word,meow
item_6,word,moo
item_7,word,ouch
item_8,word,quack quack
item_9,word,uh oh
item_10,word,vroom
item_11,word,woof woof
item_12,word,yum yum
item_13,word,alligator
item_14,word,animal
item_15,word,ant
item_16,word,bear
item_17,word,bee
item_18,word,bird
item_19,word,bug
item_20,word,bunny
item_21,word,butterfly
item_22,word,cat
item_23,word,chicken
item_24,word,cow
item_25,word,deer
item_26,word,dog
item_27,word,donkey
item_28,word,duck
item_29,word,elephant
item_30,word,fish
item_31,word,frog
item_32,word,giraffe
item_33,word,goose
item_34,word,hen
item_35,word,horse
item_36,word,kitty
item_37,word,lamb
item_38,word,lion
item_39,word,monkey
item_40,word,moose
item_41,word,mouse
item_42,word,owl
item_43,word,penguin
item_44,word,pig
item_45,word,pony
item_46,word,puppy
item_47,word,rooster
item_48,word,sheep
item_49,word,squirrel
item_50,word,teddybear
item_51,word,tiger
item_52,word,turkey
item_53,word,turtle
item_54,word,wolf
item_55,word,zebra
item_56,word,airplane
item_57,word,bicycle
item_58,word,boat
item_59,word,bus
item_60,word,car
item_61,word,firetruck
item_62,word,helicopter
item_63,word,motorcycle
item_64,word,sled
item_65,word,stroller
item_66,word,tractor
item_67,word,train
item_68,word,tricycle
item_69,word,truck
item_70,word,ball
item_71,word,balloon
item_72,word,bat
item_73,word,block
item_74,word,book
item_75,word,bubbles
item_76,word,chalk
item_77,word,crayon
item_78,word,doll
item_79,word,game
item_80,word,glue
item_81,word,pen
item_82,word,pencil
item_83,word,play dough
item_84,word,present
item_85,word,puzzle
item_86,word,story
item_87,word,toy
item_88,word,apple
item_89,word,applesauce
item_90,word,banana
item_91,word,beans
item_92,word,bread
item_93,word,butter
item_94,word,cake
item_95,word,candy
item_96,word,carrots
item_97,word,cereal
item_98,word,cheerios
item_99,word,cheese
item_100,word,chicken_2
item_101,word,chocolate
item_102,word,coffee
item_103,word,coke
item_104,word,cookie
item_105,word,corn
item_106,word,cracker
item_107,word,donut
item_108,word,drink
item_109,word,egg
item_110,word,fish_2
item_111,word,food
item_112,word,french fries
item_113,word,grapes
item_114,word,green beans
item_115,word,gum
item_116,word,hamburger
item_117,word,ice
item_118,word,ice cream
item_119,word,jello
item_120,word,jelly
item_121,word,juice
item_122,word,lolllipop
item_123,word,meat
item_124,word,melon
