itemID,item,item_type,category,choices,definition,gloss
item01,responde,word,first_signs,no; yes,¿Responde o se da vuelta cuando lo llama por su nombre?,
item02,deja_de_ha,word,first_signs,no; yes,¿Deja de hacer lo que está haciendo (aunque sea por un momento) cuando se le dice “no”?,
item03,busca_a_su,word,first_signs,no; yes,¿Busca a su alrededor cuando escucha que alguien llama a su mamá o a su papá?,
item04,abri_la_boca,word,phrases,produces,Abrí la boca!,
item05,a_la_boca_no,word,phrases,produces,A la boca no!,
item06,chau_adios,word,phrases,produces,Chau/Adios!,
item07,a_dormir,word,phrases,produces,A dormir,
item08,deja_eso,word,phrases,produces,Deja eso/¡dejalo!,
item09,bravo_comprehension,word,phrases,produces,!Bravo!,
item10,cuidado,word,phrases,produces,!Cuidado!,
item11,dame_eso,word,phrases,produces, ¡Dame eso/Dámelo ,
item12,donde_esta,word,phrases,produces,¿Dónde está (el guau guau/la luz)?,
item13,quedate_quieto,word,phrases,produces,!Quedate quieto/ahí!,
item14,mira,word,phrases,produces,Mirá!,
item15,muy_bien,word,phrases,produces,Muy bien!,
item16,basta_para,word,phrases,produces,!Basta/Pará!,
item17,no_toques_eso,word,phrases,produces,!No toques eso!,
item18,levantate,word,phrases,produces,Levantante/parate,
item19,queres_la_leche,word,phrases,produces,Queres la leche/la meme?,
item20,queres_mas,word,phrases,produces,Queres más?,
item21,sentate,word,phrases,produces,Sentate!/Sentadito!,
item22,te_cambio_panial,word,phrases,produces,Te cambio el pañal?,
item23,tenes_hambre,word,phrases,produces,Tenes hambre?,
item24,vamos_comprension,word,phrases,produces,Vamos,
item25,vamos_a_baniarnos,word,phrases,produces,Vamos a bañarnos,
item26,veni,word,phrases,produces,Vení/Vení para acá,
item27,ahi_viene,word,phrases,produces,Ahí viene mami/papi!,
item28,haceme_ojitos,word,phrases,produces,Haceme ojitos!,
item29,me_traes_la,word,phrases,produces,Me traes (la muñeca),
item30,espera,word,phrases,produces,Esperá/Esperate!,
item31,algunos_ni,word,starting_to_talk,not yet; sometimes; often,"Algunos niños repiten las cosas que oyen. A veces repiten parte de una frase, por ejemplo, si oyen “el auto de papá” dicen “papá” o “auto”. Otras veces nueva para ellos. ¿Tu hijo/a imita palabras o partes de frases? ",
item32,a_veces_los,word,starting_to_talk,not yet; sometimes; often,"A veces los niños/as, aunque hablen muy poco van “pidiendo” que se les diga el nombre de las cosas que ven. Puede que señalen algo con el dedo y (¿esto?). ¿Hace tu hijo/a estas cosas?(¿esto?). ¿Hace tu hijo/a estas cosas?pregunten al adulto “¿eto?”",
item33,algunos_n_dicen,word,starting_to_talk,not yet; sometimes; often,Algunos niños dicen los nombres de las cosas que ven. Andan por la casa y dicen los nombres de las cosas o personas que ven ¿Hace esto tu hijo/a?,
item34,am,word,sounds,understands; produces,!AM!,
item35,ay,word,sounds,understands; produces,!AY!,
item36,beemee,word,sounds,understands; produces,Bee / mee,
item37,cuacua,word,sounds,understands; produces,Cua cuá,
item38,guagua,word,sounds,understands; produces,Guau guau/bau bau,
item39,miau,word,sounds,understands; produces,Miau,
item40,muu,word,sounds,understands; produces,Muuu,
item41,piopio,word,sounds,understands; produces,Pio pío,
item42,pum,word,sounds,understands; produces,!PUM!,
item43,quiquiriqui,word,sounds,understands; produces,Qui qui ri quí / Co co ro co,
item44,rumrum,word,sounds,understands; produces,Rum rum,
item45,tutu,word,sounds,understands; produces,Tu tú,
item46,animal,word,animals,understands; produces,Animal,
item47,bicho,word,animals,understands; produces,Bicho,
item48,caballo,word,animals,understands; produces,Caballo,
item49,chancho,word,animals,understands; produces,Chancho,
