itemID,item,item_type,category,choices,Definition-english,gloss,definition,complexity_category,scoring_category,enabler,enable_response
item_1,baa_baa,word,sounds,produces,baa baa,baa baa,מה מה ,,,,
item_2,choo_choo,word,sounds,produces,choo choo,choo choo,צ'יק צ'יק צ'אק,,,,
item_3,cockadoodledoo,word,sounds,produces,cockadoodledoo,cockadoodledoo,קוקוקריקו,,,,
item_4,meow,word,sounds,produces,meow,meow,מיאו,,,,
item_5,moo,word,sounds,produces,moo,moo,מו,,,,
item_6,ouch,word,sounds,produces,ouch,ouch,אוי/ איה,,,,
item_7,quack_quack,word,sounds,produces,quack quack,quack quack,גע גע,,,,
item_8,vroom,word,sounds,produces,vroom,vroom,וון וון/ הנ/ ברר,,,,
item_9,woof_woof,word,sounds,produces,woof woof,woof woof,האו/ הב הב,,,,
item_10,yum_yum,word,sounds,produces,yum yum,yum yum,הם/ מ מ....מ,,,,
item_11,hee_aa,word,sounds,produces,hee aa,hee aa,אי-אה,,,,
item_12,bzzzz,word,sounds,produces,bzzzz,bzzzz,בזז...,,,,
item_13,hopa,word,sounds,produces,hopa,hopa,הופה,,,,
item_14,tzif_tzif,word,sounds,produces,tzif tzif,tzif tzif,ציף ציף,,,,
item_15,shhhh,word,sounds,produces,shhhh,shhhh,שש...ש,,,,
item_16,alligator,word,animals,produces,alligator,alligator,תנין,,,,
item_17,animal,word,animals,produces,animal,animal,חיה,,,,
item_18,ant,word,animals,produces,ant,ant,נמלה,,,,
item_19,bear,word,animals,produces,bear,bear,דב/ דובי,,,,
item_20,bee,word,animals,produces,bee,bee,דבורה,,,,
item_21,bird,word,animals,produces,bird,bird,ציפור,,,,
item_22,bug,word,animals,produces,bug,bug,ג'וק/ תיקן,,,,
item_23,bunny,word,animals,produces,bunny,bunny,שפן/ ארנבת,,,,
item_24,butterfly,word,animals,produces,butterfly,butterfly,פרפר,,,,
item_25,cat,word,animals,produces,cat,cat,חתול,,,,
item_26,chicken.animal,word,animals,produces,chicken (animal),chicken (animal),תרנגול,,,,
item_27,cow,word,animals,produces,cow,cow,פרה,,,,
item_28,deer,word,animals,produces,deer,deer,אייל/ צבי/ במבי,,,,
item_29,dog,word,animals,produces,dog,dog,כלב,,,,
item_30,donkey,word,animals,produces,donkey,donkey,חמור,,,,
item_31,duck,word,animals,produces,duck,duck,ברווז,,,,
item_32,elephant,word,animals,produces,elephant,elephant,פיל,,,,
item_33,fish.animal,word,animals,produces,fish (animal),fish (animal),דג,,,,
item_34,frog,word,animals,produces,frog,frog,צפרדע,,,,
item_35,giraffe,word,animals,produces,giraffe,giraffe,ג'ירפה,,,,
item_36,goose,word,animals,produces,goose,goose,אווז,,,,
item_37,horse,word,animals,produces,horse,horse,סוס,,,,
item_38,lamb,word,animals,produces,lamb,lamb,טלה,,,,
item_39,lion,word,animals,produces,lion,lion,אריה,,,,
item_40,monkey,word,animals,produces,monkey,monkey,קוף,,,,
item_41,mouse,word,animals,produces,mouse,mouse,עכבר,,,,
item_42,owl,word,animals,produces,owl,owl,ינשוף,,,,
item_43,penguin,word,animals,produces,penguin,penguin,פינגווין,,,,
item_44,cub,word,animals,produces,cub,cub,גור,,,,
item_45,sheep,word,animals,produces,sheep,sheep,כבשה,,,,
item_46,squirrel,word,animals,produces,squirrel,squirrel,סנאי,,,,
item_47,teddybear,word,animals,produces,teddybear,teddybear,דוב/ דובי,,,,
item_48,tiger,word,animals,produces,tiger,tiger,נמר,,,,
item_49,turtle,word,animals,produces,turtle,turtle,צב,,,,
item_50,wolf,word,animals,produces,wolf,wolf,זאב,,,,
item_51,zebra,word,animals,produces,zebra,zebra,זברה,,,,
item_52,chick,word,animals,produces,zebra,chick,אפרוח,,,,
item_53,hippo,word,animals,produces,zebra,hippo,היפופוטם,,,,
item_54,fly,word,animals,produces,zebra,fly,זבוב,,,,
item_55,beetle,word,animals,produces,zebra,beetle,חיפושית,,,,
item_56,peacock,word,animals,produces,zebra,peacock,טווס,,,,
item_57,Pigeon,word,animals,produces,zebra,Pigeon,יונה,,,,
item_58,snake,word,animals,produces,zebra,snake,נחש,,,,
item_59,hedgehog,word,animals,produces,zebra,hedgehog,קיפוד,,,,
item_60,parrot,word,animals,produces,zebra,parrot,תוכי,,,,
item_61,airplane,word,vehicles,produces,airplane,airplane,מטוס/ אווירון,,,,
item_62,bicycle,word,vehicles,produces,bicycle,bicycle,אופניים,,,,
item_63,boat,word,vehicles,produces,boat,boat,אניה,,,,
item_64,bus,word,vehicles,produces,bus,bus,אוטובוס,,,,
