"age","theta","sd","n","definition","index","item_info"
12,-1.76962947374253,0.327039971916329,78,"(イナイイナイ) バー",245,0.580908464865026
13,-1.6691637241354,0.40014622386539,13,"(イナイイナイ) バー",245,0.654933297317887
14,-1.48902664618303,0.441333310388823,20,"ワンワン (犬; いぬ)",12,0.825703943699281
15,-1.26985933618123,0.433280745584983,65,"ワンワン (犬; いぬ)",12,1.27824346495887
16,-1.06500324813028,0.491953173032601,41,"ワンワン (犬; いぬ)",12,1.72226865569256
17,-0.950311821708226,0.414751730829071,39,"ワンワン (犬; いぬ)",12,1.91531755820666
18,-0.875346111509576,0.470166171823899,126,"バイバイ",260,2.08087824588071
19,-0.718246725374734,0.400210157137773,34,"バイバイ",260,2.36204432328823
20,-0.612482759902636,0.447295368710968,56,"キャラクター (アンパンマンなど) の名前 (なまえ)",233,2.54441537885319
21,-0.41956205098106,0.408793296468997,60,"靴 (くつ)",99,5.12365634328357
22,-0.30540493165025,0.278585948419162,36,"靴 (くつ)",99,7.74707703614534
23,-0.228876478961749,0.339921156315548,36,"靴 (くつ)",99,9.17036851620256
24,-0.122219252990797,0.371227982075446,65,"足 (あし)",115,10.1517848881256
25,-0.0162136150145596,0.481559919528729,32,"足 (あし)",115,13.8390516153572
26,0.0432856756140354,0.554178351645672,35,"雨 (あめ)",195,16.3703075811218
27,0.0137561209992152,0.240214476900114,14,"雨 (あめ)",195,14.7408210055355
28,0.0491741977195295,0.348031404065914,18,"雨 (あめ)",195,16.6606606008498
29,0.184005045384138,0.453706846578665,18,"頭 (あたま)",116,20.0897404363047
30,0.200394095398219,0.250005104480978,18,"頭 (あたま)",116,19.7724622331683
31,0.29096716573912,0.599836747703476,18,"トイレ",151,25.1389581099848
32,0.450704088344035,0.353915823055079,13,"トイレ",151,27.1700925963761
33,0.430042218830221,0.456688649223854,14,"トイレ",151,29.3652425754389
34,0.461991163481491,0.366727680720496,15,"お買い物 (おかいもの)",584,29.2601597731885
35,0.693073802761536,0.554706235343259,8,"作る (つくる)",613,35.5928959046928
36,0.435616706653439,0.379220730336475,41,"トイレ",151,28.825082360757
