"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"age",8,9,10,11,12,13,14,15,16,17,18
"5",0,0,1,1,2,3,5,7,10,13,16
"10",1,1,2,3,5,7,10,13,17,21,26
"15",1,2,4,5,8,11,14,18,23,28,34
"20",2,3,5,8,11,14,19,23,29,34,40
"25",3,5,7,10,14,18,23,28,34,40,46
"30",5,7,9,13,17,22,27,33,39,45,52
"35",6,9,12,16,20,26,31,38,44,50,57
"40",8,11,15,19,24,30,36,42,49,55,61
"45",10,13,17,22,28,34,40,46,53,59,65
"50",12,16,20,26,31,38,44,51,57,63,69
"55",15,19,24,29,35,42,48,55,61,67,72
"60",17,22,27,33,40,46,53,59,65,71,76
"65",21,26,31,37,44,50,57,63,69,74,78
"70",24,30,36,42,48,55,61,67,72,77,81
"75",29,34,40,47,53,60,66,71,76,80,83
"80",34,40,46,52,58,64,70,75,79,82,85
"85",40,46,52,58,64,69,74,79,82,85,86
"90",47,53,59,65,70,75,79,82,85,87,88
"95",58,63,69,73,77,81,84,86,87,88,89
"99",74,78,81,83,85,87,88,88,89,89,89
