"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"age",8,9,10,11,12,13,14,15,16,17,18
"5",0,0,0,0,0,0,0,0,1,1,1
"10",0,0,0,0,0,0,0,1,1,2,3
"15",0,0,0,0,0,1,1,1,2,3,4
"20",0,0,0,0,1,1,1,2,3,4,6
"25",0,0,0,0,1,1,2,3,4,6,8
"30",0,0,0,1,1,2,3,4,5,7,10
"35",0,0,1,1,1,2,3,5,6,9,11
"40",0,1,1,1,2,3,4,6,8,10,13
"45",0,1,1,2,2,3,5,7,9,12,15
"50",1,1,1,2,3,4,6,8,11,14,18
"55",1,1,2,3,4,5,7,9,12,16,20
"60",1,2,2,3,5,6,8,11,14,18,23
"65",2,2,3,4,6,7,10,13,16,20,25
"70",2,3,4,5,7,9,11,15,19,23,29
"75",3,3,5,6,8,10,13,17,21,26,32
"80",3,4,6,8,10,13,16,20,24,30,36
"85",4,6,7,10,12,15,19,23,28,34,41
"90",6,8,10,12,15,19,23,28,34,40,47
"95",9,11,14,17,21,25,30,35,41,48,55
"99",16,20,23,27,32,37,43,49,56,62,69
