"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"age",8,9,10,11,12,13,14,15,16,17,18
"5",0,0,1,1,2,3,5,7,9,12,16
"10",0,1,2,3,4,6,9,12,16,20,24
"15",1,2,3,4,7,9,13,17,21,26,31
"20",1,3,4,6,9,12,17,21,26,31,37
"25",2,4,6,8,12,16,20,25,31,37,42
"30",3,5,8,11,14,19,24,29,35,41,47
"35",4,7,10,13,17,22,28,33,40,46,52
"40",6,8,12,16,20,26,31,37,44,50,56
"45",7,10,14,18,24,29,35,41,48,54,60
"50",9,13,17,21,27,33,39,45,52,58,64
"55",11,15,20,25,30,36,43,49,55,61,67
"60",14,18,23,28,34,40,47,53,59,65,70
"65",16,21,26,32,38,44,51,57,63,68,73
"70",20,24,30,36,42,49,55,61,67,72,76
"75",23,29,34,40,47,53,59,65,70,75,79
"80",28,33,39,45,52,58,64,69,74,78,82
"85",33,39,45,51,57,63,69,73,78,81,84
"90",40,46,52,58,64,69,74,78,81,84,86
"95",51,56,62,67,72,76,80,83,85,87,88
"99",68,72,76,79,82,84,86,87,88,89,89
