"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"age",16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
"5",2,2,3,3,4,5,5,6,8,9,10,12,14,16,18
"10",3,4,5,6,7,8,10,12,14,16,19,22,25,28,32
"15",5,6,7,9,10,12,14,17,20,23,26,30,35,39,44
"20",6,8,9,11,13,16,19,22,25,29,34,38,43,48,54
"25",8,10,11,14,16,19,23,27,31,35,40,45,51,56,62
"30",9,11,14,16,20,23,27,31,36,41,46,52,58,64,70
"35",11,13,16,19,23,27,31,36,41,47,52,58,64,70,76
"40",13,16,19,22,26,30,35,41,46,52,58,64,70,76,81
"45",15,18,21,25,29,34,39,45,51,57,63,69,75,80,85
"50",17,20,24,28,33,38,44,50,56,62,68,74,80,85,89
"55",19,22,27,31,36,42,48,54,61,67,73,79,84,88,92
"60",21,25,30,35,40,46,52,59,65,72,78,83,87,91,94
"65",24,28,33,38,44,50,57,64,70,76,82,86,90,94,96
"70",27,31,36,42,48,55,62,68,75,80,85,90,93,96,98
"75",30,35,40,46,53,60,66,73,79,84,89,93,95,97,99
"80",33,39,45,51,58,65,72,78,83,88,92,95,97,98,99
"85",38,44,50,57,64,70,77,83,88,92,95,97,98,99,100
"90",43,50,56,63,70,77,83,88,92,95,97,99,99,100,100
"95",52,59,66,72,79,85,90,93,96,98,99,100,100,100,100
"99",67,74,80,86,90,94,97,98,99,100,100,100,100,100,100
