"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"age",8,9,10,11,12,13,14,15,16,17,18
"5",0,0,0,0,0,0,0,0,1,1,1
"10",0,0,0,0,0,0,1,1,1,2,3
"15",0,0,0,0,0,1,1,2,2,4,5
"20",0,0,0,0,1,1,2,2,4,5,8
"25",0,0,0,1,1,1,2,3,5,7,10
"30",0,0,0,1,1,2,3,4,6,9,13
"35",0,0,1,1,2,2,4,5,8,11,15
"40",0,1,1,1,2,3,4,7,9,13,18
"45",0,1,1,2,2,4,5,8,11,16,21
"50",1,1,1,2,3,5,7,9,13,18,24
"55",1,1,2,3,4,5,8,11,15,21,28
"60",1,1,2,3,5,6,9,13,18,24,31
"65",1,2,3,4,5,8,11,15,20,27,35
"70",2,2,3,5,6,9,13,17,23,30,39
"75",2,3,4,6,8,11,15,20,26,34,44
"80",2,3,5,7,9,13,17,23,30,39,49
"85",3,4,6,8,11,16,21,27,35,44,55
"90",4,6,8,11,14,19,25,33,41,51,61
"95",6,8,11,15,19,25,32,41,50,60,70
"99",10,14,18,23,30,38,46,56,65,74,81
