"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"age",8,9,10,11,12,13,14,15,16,17,18
"5",0,0,0,0,0,0,0,0,1,1,2
"10",0,0,0,0,0,0,1,1,2,3,4
"15",0,0,0,0,0,1,1,2,3,5,7
"20",0,0,0,0,1,1,2,3,5,7,10
"25",0,0,0,1,1,2,3,4,6,9,14
"30",0,0,1,1,1,2,3,5,8,12,17
"35",0,0,1,1,2,3,4,6,10,14,21
"40",0,1,1,1,2,3,5,8,12,17,25
"45",0,1,1,2,3,4,6,9,14,20,29
"50",1,1,1,2,3,5,7,11,16,24,33
"55",1,1,2,2,4,6,9,13,19,27,38
"60",1,1,2,3,4,7,10,15,22,31,42
"65",1,2,2,3,5,8,12,17,25,35,47
"70",1,2,3,4,6,9,14,20,28,39,52
"75",1,2,3,5,7,11,16,23,32,44,57
"80",2,3,4,6,9,13,19,26,37,49,63
"85",2,3,5,7,11,15,22,31,42,55,68
"90",3,4,6,9,13,19,27,36,48,62,74
"95",4,6,8,12,17,24,34,45,58,71,81
"99",6,9,13,19,27,36,48,60,72,82,87
