"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"age",16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
"5",1,2,3,5,6,8,10,13,16,19,22,25,28,31,34
"10",3,5,6,8,11,13,16,20,23,27,31,34,38,42,45
"15",5,7,9,12,15,18,22,25,29,33,37,41,45,49,53
"20",7,9,12,15,19,22,26,30,35,39,43,47,52,56,59
"25",9,12,15,19,22,26,31,35,40,44,48,53,57,61,65
"30",12,15,18,22,26,30,35,39,44,49,53,57,62,65,69
"35",14,18,21,25,30,34,39,44,48,53,57,62,66,70,73
"40",17,21,25,29,33,38,43,48,52,57,61,66,70,73,77
"45",20,24,28,32,37,42,47,52,56,61,65,69,73,77,80
"50",23,27,31,36,41,46,51,55,60,65,69,73,77,80,83
"55",26,31,35,40,45,49,54,59,64,68,72,76,80,83,86
"60",30,34,39,44,48,53,58,63,68,72,76,79,83,85,88
"65",34,38,43,48,52,57,62,67,71,75,79,82,85,88,90
"70",38,42,47,52,57,62,66,71,75,79,82,85,88,90,92
"75",42,47,52,56,61,66,70,75,78,82,85,88,90,92,94
"80",48,52,57,61,66,70,75,79,82,85,88,91,93,94,96
"85",54,58,63,67,71,75,79,83,86,89,91,93,95,96,97
"90",61,65,70,73,77,81,84,87,90,92,94,95,97,98,98
"95",71,75,78,82,85,88,90,92,94,96,97,98,99,99,99
"99",86,88,90,92,94,95,97,98,98,99,99,100,100,100,100
