"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"age",8,9,10,11,12,13,14,15,16,17,18
"5",0,0,1,1,2,3,5,7,10,13,16
"10",0,1,1,2,4,6,9,12,16,20,24
"15",1,1,2,4,6,9,12,16,20,25,30
"20",1,2,4,6,8,11,15,20,25,30,35
"25",2,3,5,7,10,14,18,23,29,34,40
"30",2,4,6,9,13,17,22,27,32,38,44
"35",3,5,8,11,15,20,25,30,36,42,48
"40",4,7,10,13,17,22,28,34,40,46,52
"45",6,8,12,15,20,25,31,37,43,49,56
"50",7,10,14,18,23,28,34,40,47,53,59
"55",9,12,16,20,26,31,37,44,50,56,62
"60",11,14,18,23,29,35,41,47,54,60,66
"65",13,17,21,26,32,38,44,51,57,63,69
"70",15,20,24,30,36,42,48,54,61,66,72
"75",19,23,28,34,40,46,52,58,64,70,75
"80",22,27,32,38,44,50,56,62,68,73,78
"85",27,32,37,43,49,55,61,67,72,77,80
"90",33,38,44,50,55,61,67,72,76,80,83
"95",43,48,53,59,64,69,73,78,81,84,86
"99",60,64,68,72,76,79,82,85,86,88,88
