"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"age",16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
"5",4,6,8,10,12,15,17,20,23,26,30,33,36,40,43
"10",7,9,12,14,17,21,24,28,31,35,39,43,46,50,54
"15",10,12,15,18,21,25,29,33,37,41,46,50,54,57,61
"20",12,15,18,21,25,29,34,38,42,47,51,55,59,63,67
"25",14,17,21,24,29,33,38,42,47,51,56,60,64,68,72
"30",16,20,23,27,32,37,41,46,51,56,60,64,68,72,76
"35",18,22,26,30,35,40,45,50,55,59,64,68,72,76,79
"40",20,24,29,33,38,43,48,53,58,63,67,72,75,79,82
"45",23,27,31,36,41,46,52,57,62,66,71,75,78,82,85
"50",25,29,34,39,44,50,55,60,65,70,74,78,81,84,87
"55",27,32,37,42,47,53,58,63,68,73,77,80,84,87,89
"60",30,35,40,45,51,56,61,66,71,76,80,83,86,89,91
"65",33,38,43,48,54,59,65,70,74,79,82,86,88,91,93
"70",36,41,46,52,57,63,68,73,77,81,85,88,91,93,95
"75",39,44,50,55,61,66,71,76,80,84,87,90,92,94,96
"80",43,48,53,59,65,70,75,79,84,87,90,92,94,96,97
"85",47,52,58,64,69,74,79,83,87,90,92,94,96,97,98
"90",53,58,63,69,74,79,83,87,90,93,95,96,98,98,99
"95",60,66,71,76,81,85,89,92,94,96,97,98,99,99,100
"99",74,78,83,87,90,93,95,97,98,99,99,100,100,100,100
