id,English_WG,English_WG2,English_WS,English_WS2,Spanish_WG,Spanish_WS,Spanish_WG2,Spanish_WS2,French_Quebec_WG,French_Quebec_WS,French_Quebec_WG2,French_Quebec_WS2,Dutch_WG,Dutch_WS,English_CDI3,English_CDI3B,English_L1,English_L1B,English_L2A,English_L2AB,English_L2B,English_L2BB,Canadian_English_WG,Canadian_English_WG2,Canadian_English_WS,Canadian_English_WS2,Korean_WS,Korean_WG,Hebrew_WG,Hebrew_WS,Spanish_L1,Spanish_L2A,Argentine_Spanish_WS,Argentine_Spanish_WG
animals,Animals (Real Or Toy),Animals (Real Or Toy),Animals (Real Or Toy),Animals (Real Or Toy),Animales (de Verdad y de Juguete),Animales (de Verdad y de Juguete),Animales (de Verdad y de Juguete),Animales (de Verdad y de Juguete),Animaux (réels ou jouets),Animaux (réels ou jouets),Animaux (réels ou jouets),Animaux (réels ou jouets),Dierennamen,Dierennamen,,,,,,,,,Animals (Real Or Toy),Animals (Real Or Toy),Animals (Real Or Toy),Animals (Real Or Toy),동물,동물,"שמות בעלי חיים אמיתיים, צעצועים או תמונות","שמות בעלי חיים אמיתיים, צעצועים או תמונות",,,Animales (de Verdad y de Juguete),Animales (de Verdad y de Juguete)
articles,,,,,Artículos,,Artículos,,,,,,,,,,,,,,,,,,,,,,,,,,,
body_parts,Body Parts,Body Parts,Body Parts,Body Parts,Partes del Cuerpo,Partes del Cuerpo,Partes del Cuerpo,Partes del Cuerpo,Parties du Corps,Parties du Corps,Parties du Corps,Parties du Corps,Delen van het lichaam,Delen van het lichaam,,,,,,,,,Body Parts,Body Parts,Body Parts,Body Parts,신체 부위,신체 부위,חלקי גוף,חלקי גוף,,,Partes del Cuerpo,Partes del Cuerpo
clothing,Clothing,Clothing,Clothing,Clothing,Ropa,Ropa,Ropa,Ropa,Vêtements,Vêtements,Vêtements,Vêtements,Kleding,Kleding,,,,,,,,,Clothing,Clothing,Clothing,Clothing,옷,옷,בגדים,בגדים,,,Ropa,Ropa
connecting_words,,,Connecting Words,Connecting Words,,Conectivos,,Conectivos,,Conjonctions,,Conjonctions,,Voegwoorden,,,,,,,,,,,Connecting Words,Connecting Words,연결하는 말,연결하는 말,,,,,Conectivos,Conectivos
descriptive_words,Descriptive Words,Descriptive Words,Descriptive Words,Descriptive Words,Cualidades y Atributos,Cualidades y Atributos,Cualidades y Atributos,Cualidades y Atributos,Mots Descriptifs,Mots Descriptifs,Mots Descriptifs,Mots Descriptifs,Omschrijvende woorden,Omschrijvende woorden,,,,,,,,,Descriptive Words,Descriptive Words,Descriptive Words,Descriptive Words,형용사,형용사,מילות תאור,מילות תאור,,,Cualidades y Atributos,Cualidades y Atributos
food_drink,Food And Drink,Food And Drink,Food And Drink,Food And Drink,Alimentos y Bebidas,Alimentos y Bebidas,Alimentos y Bebidas,Alimentos y Bebidas,Nourriture et Boissons,Nourriture et Boissons,Nourriture et Boissons,Nourriture et Boissons,Eten en drinken,Eten en drinken,,,,,,,,,Food And Drink,Food And Drink,Food And Drink,Food And Drink,음식,음식,מאכלים ומשקאות,מאכלים ומשקאות,,,Alimentos y Bebidas,Alimentos y Bebidas
furniture_rooms,Furniture And Rooms,Furniture And Rooms,Furniture And Rooms,Furniture And Rooms,Muebles y Cuartos,Muebles y Cuartos,Muebles y Cuartos,Muebles y Cuartos,Meubles et Pièces,Meubles et Pièces,Meubles et Pièces,Meubles et Pièces,Meubels en kamers,Meubels en kamers,,,,,,,,,Furniture And Rooms,Furniture And Rooms,Furniture And Rooms,Furniture And Rooms,가구 및 방안,가구 및 방안,רהיטים וחדרים,רהיטים וחדרים,,,Muebles y Cuartos,Muebles y Cuartos
games_routines,Games And Routines,Games And Routines,Games And Routines,Games And Routines,"Rutina Diaria, Reglas Sociales y Juegos","Rutina Diaria, Reglas Sociales y Juegos","Rutina Diaria, Reglas Sociales y Juegos","Rutina Diaria, Reglas Sociales y Juegos",Jeux et Routines,Jeux et Routines,Jeux et Routines,Jeux et Routines,Spelletjes en routines,Spelletjes en routines,,,,,,,,,Games And Routines,Games And Routines,Games And Routines,Games And Routines,일상생활,일상생활,"משחקים, מצבים ואירועים","משחקים, מצבים ואירועים",,,"Rutina Diaria, Reglas Sociales y Juegos","Rutina Diaria, Reglas Sociales y Juegos"
helping_verbs,,,Helping Verbs,Helping Verbs,,,,,,,,,,Hulpwerkwoorden,,,,,,,,,,,Helping Verbs,Helping Verbs,돕는 말,돕는 말,,,,,,
