field_name,question,entry_meaning,raw_entry,notes
annual_income,Estimated Annual Family Income (in USD),"Under $25,000",<25000,
annual_income,Estimated Annual Family Income (in USD),"$25,000-$50,000",25000-50000,
annual_income,Estimated Annual Family Income (in USD),"$50,000-$75,000",50000-75000,
annual_income,Estimated Annual Family Income (in USD),"$75,000-$100,000",75000-100000,
annual_income,Estimated Annual Family Income (in USD),"$100,000-$125,000",100000-125000,
annual_income,Estimated Annual Family Income (in USD),"$125,000-$150,000",125000-150000,
annual_income,Estimated Annual Family Income (in USD),"$150,000-$175,000",150000-175000,
annual_income,Estimated Annual Family Income (in USD),"$175,000-$200,000",175000-200000,
annual_income,Estimated Annual Family Income (in USD),"Over $200,000",>200000,
birth_order,Birth order,1 (First),1,
birth_order,Birth order,2 (Second),2,
birth_order,Birth order,3 (Third),3,
birth_order,Birth order,4 (Fourth),4,
birth_order,Birth order,5 (Fifth),5,
birth_order,Birth order,6 (Sixth),6,
birth_order,Birth order,7 (Seventh),7,
birth_order,Birth order,8 (Eighth),8,
birth_order,Birth order,9 (Ninth),9,
birth_order,Birth order,10 or more (Tenth or Later),10,
birth_weight_kg,Birth weight,Less than 1500 grams,1,
birth_weight_kg,Birth weight,1500 grams - 1749 grams,1.5,
birth_weight_kg,Birth weight,1750 grams - 1999 grams,1.75,
birth_weight_kg,Birth weight,2000 grams - 2249 grams,2,
birth_weight_kg,Birth weight,2250 grams - 2499 grams,2.25,
birth_weight_kg,Birth weight,2500 grams - 2749 grams,2.5,
birth_weight_kg,Birth weight,2750 grams - 2999 grams,2.75,
birth_weight_kg,Birth weight,3000 grams - 3249 grams,3,
birth_weight_kg,Birth weight,3250 grams - 3499 grams,3.25,
birth_weight_kg,Birth weight,3500 grams - 3749 grams,3.5,
birth_weight_kg,Birth weight,3750 grams - 3999 grams,3.75,
birth_weight_kg,Birth weight,4000 grams - 4249 grams,4,
birth_weight_kg,Birth weight,4250 grams - 4499 grams,4.25,
birth_weight_kg,Birth weight,4500 grams - 4749 grams,4.5,
birth_weight_kg,Birth weight,4750 grams - 4999 grams,4.75,
birth_weight_kg,Birth weight,5000 grams or more,5,
birth_weight_lb,Birth weight,"Less than 3 lbs, 0 oz",1,
birth_weight_lb,Birth weight,"3 lbs, 0 oz - 3 lbs, 7 oz",3,
birth_weight_lb,Birth weight,"3 lbs, 8 oz - 3 lbs, 15 oz",3.5,
birth_weight_lb,Birth weight,"4 lbs, 0 oz - 4 lbs, 7 oz",4,
